Age;-25;-24;-23;-22;-21;-20;-19;-18;-17;-16;-15;-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
0;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";Возможно лучше остаться дома в тении и прохладе.
1;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";Возможно лучше остаться дома в тении и прохладе.
2;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 0 до 2 месяцев, при температуре от 14 до 10 градусов;"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";Возможно лучше остаться дома в тении и прохладе.
3;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -21 до -25 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -16 до -20 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -11 до -15 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -6 до -10 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от -1 до -5 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 4 до 0 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 9 до 5 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 14 до 10 градусов;Комплект одежды для малыша от 3 до 5 месяцев, при температуре от 14 до 10 градусов;"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- легкая верхняя одежда (например, утепленный хлопковый с начесом или флисовый комбинезон),
- хлопковая шапочка, чтобы не задувало в ушки. :)
Возможно, стоит прикрыть ребенка легким пледом.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.
Возможно, стоит прихватить с собой легкий плед.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.";"- нательное белье (хлопковый комбинезон или ползунки, кофточка, носочки),
- чепчик/панама.";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";"- боди/песочник,
- чепчик/панама,
- по желанию - носочки. 
Не забудьте защититься от солнца!";Возможно лучше остаться дома в тении и прохладе.
